strategy,tool,state,n,ev,evR,wr,pf,medR,aw,al,mfe,mae,ratio,ff25,stop,tmfe,reach,maxw,maxl,winMFE,winMFE95
A4_ACCEPT_BRK,RANGE,LOW,827,-1.3942820435307923,-0.16357562319575988,21.8863361547763,0.9120705877799861,-1.0413547237076677,66.08027624309379,-20.299692337461497,2.529182879377432,2.854864433811802,0.8859204834467317,48.2442748091603,76.66263603385731,28,"{0.25: 66.0217654171705, 0.5: 55.743651753325274, 1: 41.35429262394196, 1.5: 34.46191051995163, 2: 27.20677146311971, 3: 16.444981862152357, 4: 10.399032648125756, 5: 5.683192261185006}",320.63,-63.25124999999854,5.359848484848485,12.591304347826087
A4_ACCEPT_BRK,RANGE,MEDIUM,649,-4.955862865947559,-0.1580468648845693,22.033898305084747,0.790434003281918,-1.0268985507246375,84.83454545454526,-30.331413043478502,2.3519214099971104,2.647943831494483,0.8882066840026968,43.51851851851852,77.34976887519261,28,"{0.25: 62.71186440677966, 0.5: 52.080123266563945, 1: 40.67796610169491, 1.5: 32.04930662557781, 2: 24.345146379044685, 3: 14.329738058551618, 4: 9.244992295839754, 5: 6.00924499229584}",541.88,-85.75124999999855,4.8861646234676,11.930283224400872
A4_ACCEPT_BRK,RANGE,HIGH,387,2.1835206718346662,0.04057696306119181,21.188630490956072,1.0896943176978375,-1.0276354973198325,125.19707317073166,-30.88897540983602,2.9659224441833136,2.72782874617737,1.087283227856439,49.67948717948718,76.74418604651163,26,"{0.25: 58.91472868217054, 0.5: 50.3875968992248, 1: 37.98449612403101, 1.5: 31.007751937984494, 2: 26.098191214470283, 3: 18.087855297157624, 4: 12.919896640826874, 5: 10.852713178294573}",576.63,-103.75124999999855,7.794360309618727,17.604790419161677
A4_ACCEPT_BRK,VOLUME,LOW,208,-0.5769411057692714,-0.1436337384741328,21.153846153846153,0.9578190308434315,-1.052311161217592,61.93113636363641,-17.347400914634143,2.4437160561762807,3.0823967453462275,0.7927973775166287,50.0,78.36538461538461,29.0,"{0.25: 66.82692307692308, 0.5: 54.80769230769231, 1: 43.26923076923077, 1.5: 35.09615384615385, 2: 27.403846153846153, 3: 19.23076923076923, 4: 14.423076923076923, 5: 9.134615384615385}",320.63,-81.12,6.421534820824882,14.099378881987576
A4_ACCEPT_BRK,VOLUME,MEDIUM,582,-4.153752147766257,-0.25832544823896497,19.587628865979383,0.7662415756052212,-1.0383789305024316,69.5115789473685,-22.097871260683828,2.312497608387862,2.8835672839455846,0.8019572219669769,46.895074946466806,78.52233676975945,24.0,"{0.25: 64.43298969072166, 0.5: 55.154639175257735, 1: 39.34707903780069, 1.5: 31.786941580756015, 2: 24.742268041237114, 3: 13.917525773195877, 4: 9.106529209621993, 5: 4.123711340206185}",257.88,-70.78875000000073,5.372231934731935,11.780667043527416
A4_ACCEPT_BRK,VOLUME,HIGH,1073,-0.9197728331779831,-0.03907263980484642,23.112767940354146,0.9600368485854688,-1.02760261748959,95.59975806451612,-29.934128787878738,2.7089627391742197,2.594733461785485,1.0440235111124405,46.23287671232877,75.76887232059646,29,"{0.25: 62.16216216216216, 0.5: 52.09692451071761, 1: 40.44734389561976, 1.5: 33.084808946877914, 2: 26.374650512581546, 3: 16.589002795899347, 4: 10.531220876048462, 5: 7.921714818266542}",576.63,-103.75124999999855,5.251641228936244,14.14820473644003
A5_REJECT_BRK,RANGE,LOW,665,-1.3374906015037586,-0.06815352774095423,23.157894736842106,0.9117382666144501,-1.0426862925483011,59.66084415584414,-19.72055039138949,2.4335106382978724,2.526315789473684,0.9632646276595745,48.34782608695652,76.09022556390977,30,"{0.25: 64.9624060150376, 0.5: 56.2406015037594, 1: 43.1578947368421, 1.5: 33.83458646616541, 2: 26.31578947368421, 3: 16.090225563909776, 4: 10.827067669172932, 5: 7.368421052631579}",451.63,-62.98875000000145,5.6400597374228205,12.854418308963762
A5_REJECT_BRK,RANGE,MEDIUM,796,-1.9275141331657755,-0.10048373093272181,25.12562814070352,0.9054683216628142,-1.0282152656061645,73.48124999999979,-27.232468540268766,2.4664033333092625,2.5015540820555326,0.9859484354152412,48.43260188087774,72.98994974874371,26.0,"{0.25: 67.46231155778895, 0.5: 56.78391959798995, 1: 42.58793969849246, 1.5: 34.17085427135678, 2: 27.01005025125628, 3: 18.467336683417084, 4: 9.924623115577889, 5: 5.276381909547739}",331.88,-90.32624999999928,5.191278701454529,11.240721102863203
A5_REJECT_BRK,RANGE,HIGH,544,0.3782996323528393,0.027115449305655376,23.529411764705884,1.0145932217872466,-1.0234227287495306,111.78039062499982,-33.899266826923444,2.5986067758811564,3.1075870666299523,0.8362136667981555,52.35602094240838,75.36764705882354,22.0,"{0.25: 70.22058823529412, 0.5: 62.13235294117647, 1: 47.61029411764706, 1.5: 35.845588235294116, 2: 29.96323529411765, 3: 18.566176470588236, 4: 12.132352941176471, 5: 7.536764705882353}",576.88,-93.55125000000146,5.774862652763763,17.3015873015873
A5_REJECT_BRK,VOLUME,LOW,317,0.3610528391167676,-0.01798222107484053,23.65930599369085,1.0262175094353976,-1.0460774577954355,59.733333333333405,-18.03944731404945,2.478134110787172,2.33741753063148,1.06020173046177,51.42857142857143,75.70977917981072,28,"{0.25: 65.61514195583597, 0.5: 56.782334384858046, 1: 43.84858044164038, 1.5: 33.12302839116719, 2: 27.129337539432175, 3: 16.7192429022082, 4: 10.410094637223974, 5: 6.624605678233438}",451.63,-77.20124999999928,5.444743935309973,15.0332005312085
